기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
브레인즈컴퍼니,2021.08.03,"20,000~22,500","25,000","12,000",1428.8:1,8.92%,키움증권,099390
롯데렌탈(유가),2021.08.03,"47,000~59,000","59,000","677,834",217.63:1,14.65%,"NH투자증권,한국투자증권,KB증권,미래에셋증권,삼성증권,신한금융,키움증권,하나금융",089860
딥노이드,2021.08.02,"31,500~42,000","42,000","9,450",1179.07:1,7.29%,KB증권,315640
아주스틸(유가),2021.08.02,"12,700~15,100","15,100","88,106",1776.9:1,16.33%,미래에셋증권,139990
플래티어,2021.07.30,"8,500~10,000","11,000","15,300",1631:1,18.29%,"KB증권,하나금융투자",367000
엠로,2021.07.29,"20,100~22,600","22,600","20,423",685.60:1,6.97%,한국투자증권,058970
한컴라이프케어(유가),2021.07.29,"10,700~13,700","13,700","88,834",418.99:1,3.27%,미래에셋증권,372910
원티드랩,2021.07.26,"28,000~35,000","35,000","20,440",1503.91:1,10.98%,한국투자증권,376980
디앤디플랫폼리츠,2021.07.26,"5,000~5,000","5,000","175,000",,-,"NH투자증권,신한금융투자,대신증권",377190
에이치케이이노엔,2021.07.22,"50,000~59,000","59,000","505,850",1871.36:1,13.49%,"한국투자증권,삼성증권",195940
한화플러스스팩2호,2021.07.21,"2,000~2,000","2,000","7,500",,-,한화투자증권,386580
카카오뱅크(유가),2021.07.20,"33,000~39,000","39,000","2,159,850",1732.83:1,45.28%,"KB증권,한국투자증권,하나금융투자,현대차증권",323410
크래프톤(유가),2021.07.14,"400,000~498,000","498,000","3,461,692",243.15:1,22.05%,"미래에셋증권,NH투자증권,삼성증권",259960
에브리봇,2021.07.13,"32,600~36,700","36,700","36,512",576.74:1,0.67%,NH투자증권,270660
맥스트,2021.07.12,"11,000~13,000","15,000","11,000",1587.01:1,39.13%,하나금융투자,377030
큐라클,2021.07.07,"20,000~25,000","25,000","42,666",1219.27:1,7.23%,"삼성증권,NH투자증권",365270
에스디바이오센서(유가),2021.07.05,"45,000~52,000","52,000","559,899",1143.76:1,12.45%,"NH투자증권,한국투자증권,삼성증권,KB증권",137310
오비고,2021.06.28,"12,400~14,300","14,300","27,426",1123.74 :1,7.68%,NH투자증권,352910
아모센스,2021.06.10,"12,400~15,200","12,400","34,470",116.79:1,2.57%,신한금융투자,357580
삼성머스트스팩5호,2021.06.03,"2,000~2,000","2,000","8,000",,-,삼성증권,380320
이노뎁,2021.06.03,"14,000~18,000","18,000","14,700",1573.93:1,6.05%,하이투자증권,303530
라온테크,2021.05.31,"12,800~15,800","18,000","6,400",1526.2:1,8.90%,KB증권,232680
엘비루셈,2021.05.26,"12,000~14,000","14,000","72,000",1419.23:1,4.48%,"한국투자증권,KB증권",376190
에이디엠코리아,2021.05.17,"2,900~3,300","3,800","13,050",1515.98:1,12.35%,하나금융투자,187660
제주맥주,2021.05.10,"2,600~2,900","3,200","21,741",1356.43:1,5.47%,대신증권,276730
삼영에스앤씨,2021.05.06,"7,800~10,000","11,000","8,619",1762.39 :1,15.27%,미래에셋증권,361670
삼성스팩4호,2021.05.06,"2,000~2,000","2,000","7,400",,-,삼성증권,377630
진시스템,2021.05.06,"16,000~20,000","20,000","22,800",934.07:1,1.50%,삼성증권,363250
NH스팩19호(유가),2021.05.06,"2,000~2,000","2,000","96,000",,-,NH투자증권,380440
샘씨엔에스,2021.05.03,"5,000~5,700","6,500","60,000",1537.67:1,26.07%,대신증권,252990
씨앤씨인터내셔널,2021.04.28,"35,000~47,500","47,500","51,800",1029.14:1,5.28%,"NH투자증권,삼성증권,대신증권",352480
에이치피오,2021.04.27,"22,200~25,400","22,200","88,525",252.13:1,4.12%,"대신증권,키움증권",357230
하이스팩6호,2021.04.22,"2,000~2,000","2,000","8,500",,-,하이투자증권,377400
SK아이이테크놀로지(유가),2021.04.22,"78,000~105,000","105,000","1,668",1882.88:1,63.20%,"미래에셋증권,한국투자증권,SK증권,삼성증권,NH투자증권",361610
쿠콘,2021.04.13,"31,000~40,000","45,000","49,981",1594.61:1,30.90%,"하나금융투자,삼성증권",294570
해성티피씨,2021.04.06,"9,500~11,500","13,000","9,500",1508.95:1,16.05%,한국투자증권,059270
이삭엔지니어링,2021.04.06,"9,500~11,500","11,500","19,950",1427.15:1,20.73%,신한금융투자,351330
유진스팩6호,2021.03.23,"2,000~2,000","2,000","5,600",,-,유진증권,373340
유안타스팩8호,2021.03.19,"2,000~2,000","2,000","12,500",,-,유안타증권,367480
엔시스,2021.03.16,"13,000~16,500","19,000","29,900",1467.73:1,21.73%,미래에셋증권,333620
자이언트스텝,2021.03.09,"9,000~11,000","11,000","12,600",1691.65:1,24.42%,한국투자증권,289220
제노코,2021.03.09,"27,000~33,000","36,000","13,230",1452.49:1,22.15%,DB금융투자,361390
라이프시맨틱스,2021.03.08,"9,000~12,500","12,500","9,000",1402.17:1,3.78%,한국투자증권,347700
SK바이오사이언스(유가),2021.03.04,"49,000~65,000","65,000","1,124,550",1275.47:1,59.92%,"NH투자증권,한국투자증권,미래에셋증권,SK증권,삼성증권,하나금융투자",302440
바이오다인,2021.03.02,"22,500~28,700","30,000","22,500",1364.85:1,8.80%,대신증권,314930
디비금융스팩9호,2021.03.02,"2,000~2,000","2,000","8,000",,-,DB금융투자,367360
싸이버원,2021.02.24,"7,600~8,300","9,500","10,343",1303.1:1,9.70%,키움증권,356890
네오이뮨텍,2021.02.23,"5,400~6,400","7,500","81,000",1374.09:1,25.54%,"하나금융투자,미래에셋대우",950220
프레스티지바이오로직스,2021.02.23,"8,700~12,400","12,400","63,945",369.91:1,6.50%,"미래에셋증권,유안타증권",334970
나노씨엠에스,2021.02.22,"14,500~18,500","20,000","11,600",1295.75:1,6.65%,키움증권,247660
하나머스트스팩7호,2021.02.17,"2,000~2,000","2,000","7,000",,-,하나금융투자,372290
IBKS스팩15호,2021.02.15,"2,000~2,000","2,000","6,400",,-,IBK투자증권,373200
뷰노,2021.02.08,"15,000~19,500","21,000","27,000",1457.21:1,23.80%,"미래에셋대우,삼성증권",338220
씨이랩,2021.02.08,"23,000~31,000","35,000","16,900",1371.37:1,12.97%,아이비케이투자증권,189330
오로스테크놀로지,2021.02.08,"17,000~21,000","21,000","32,300",1260:1,37.12%,키움증권,322310
유일에너테크,2021.02.04,"11,000~14,000","16,000","26,567",1427.69:1,61.06%,신영증권,340930
피엔에이치테크,2021.01.28,"14,000~17,000","18,000","9,632",1454.47:1,9.58%,한국투자증권,239890
하나금융스팩17호,2021.01.25,"2,000~2,000","2,000","12,000",,-,하나금융투자,363260
아이퀘스트,2021.01.20,"9,200~10,600","11,000","18,400",1504.02:1,18.70%,미래에셋대우,262840
프레스티지바이오파마(유가),2021.01.19,"25,000~32,000","32,000","383,541",819.76:1,19.31%,"삼성증권,KB증권",950210
와이더플래닛,2021.01.18,"12,000~15,000","16,000","12,000",1449.22:1,9.59%,한국투자증권,321820
레인보우로보틱스,2021.01.18,"7,000~9,000","10,000","18,550",1489.9:1,19.90%,"미래에셋대우,대신증권",277810
신한스팩7호,2021.01.18,"2,000~2,000","2,000","8,000",,-,신한금융투자,366330
솔루엠(유가),2021.01.14,"13,700~15,500","17,000","87,680",1167.55:1,20.79%,"미래에셋대우,케이비증권,하나금융투자,신한금융투자,삼성증권",248070
모비릭스,2021.01.14,"10,500~14,000","14,000","18,900",1407.53:1,5.73%,"한국투자증권,KB증권,신영증권",348030
핑거,2021.01.14,"13,000~15,000","16,000","16,900",1453.12:1,12.64%,대신증권,163730
씨앤투스성진,2021.01.12,"26,000~32,000","32,000","41,600",1010.02:1,1.70%,미래에셋대우,352700
선진뷰티사이언스,2021.01.12,"10,100~11,500","11,500","18,533",1431:1,17.83%,"신한금융투자,삼성증권",086710
엔비티,2021.01.06,"13,200~17,600","19,000","10,982",1425.3:1,10.70%,미래에셋대우,236810
한국스팩9호,2021.01.06,"2,000~2,000","2,000","8,000",,-,한국투자증권,368770
석경에이티,2020.12.10,"8,000~10,000","10,000","8,000",1390.29:1,6.68%,한국투자증권,357550
대신밸런스스팩9호,2020.12.09,"2,000~2,000","2,000","7,000",,-,대신증권,369370
프리시젼바이오,2020.12.08,"10,500~12,500","12,500","15,750",1231.23:1,1.62%,한국투자증권,335810
지놈앤컴퍼니,2020.12.07,"36,000~40,000","40,000","72,000",1163.49:1,9.08%,한국투자증권,314130
엔에이치스팩18호,2020.12.07,"2,000~2,000","2,000","7,000",,-,NH투자증권,365590
알체라,2020.12.03,"8,000~10,000","10,000","16,000",1315.61:1,3.88%,"신영증권,NH투자증권",347860
에이치엠씨아이비스팩5호,2020.12.02,"2,000~2,000","2,000","10,000",,-,현대차증권,353060
에프앤가이드,2020.12.02,"5,200~6,500","7,000","8,456",1327.98:1,7.60%,"신영증권,삼성증권",064850
티엘비,2020.11.30,"33,200~38,000","38,000","33,200",1318.82:1,6.10%,DB금융투자,356860
인바이오,2020.11.25,"5,100~5,800","5,800","8,313",1386.04:1,8.23%,한국투자증권,352940
퀀타매트릭스,2020.11.25,"19,700~25,500","25,500","33,627",185.56:1,4.60%,미래에셋대우,317690
이에스알켄달스퀘어리츠(유가),2020.11.25,"5,000~5,000","5,000","357,295",,-,"한국투자증권, 씨티증권, 모간스탠리",365550
명신산업(유가),2020.11.24,"4,900~5,800","6,500","77,071",1195.69:1,30.60%,"미래에셋대우,현대차증권,하나금융투자,케이비증권",009900
디비금융스팩8호,2020.11.24,"2,000~2,000","2,000","10,000",,-,DB금융투자,367340
엔젠바이오,2020.11.23,"10,500~14,000","14,000","34,216",1006.96:1,3.33%,삼성증권,354200
앱코,2020.11.17,"21,400~24,300","24,300","53,649",1141.02:1,3.64%,미래에셋대우,129890
클리노믹스,2020.11.17,"10,900~13,900","13,900","21,498",494.20:1,2.05%,대신증권,352770
엔에프씨,2020.11.16,"10,200~13,400","13,400","20,400",979.94:1,6.15%,삼성증권,265740
포인트모바일,2020.11.16,"13,000~15,000","15,000","14,233",1447.07:1,18.19%,하나금융투자,318020
제일전기공업,2020.11.10,"15,000~17,000","17,000","43,500",1196.21:1,8.86%,"하나금융투자,한화투자증권",199820
티앤엘,2020.11.09,"34,000~38,000","36,000","27,200",338.91:1,0.41%,한국투자증권,340570
하나기술,2020.11.09,"31,000~35,000","35,000","24,800",1393.98:1,16.83%,하나금융투자,299030
에이플러스에셋어드바이저(유가),2020.11.05,"10,500~12,300","7,500","29,379",3.66:1,25.40%,"NH투자증권,IBK투자증권",244920
고바이오랩,2020.11.03,"18,000~23,000","15,000","43,200",64.33:1,0.03%,"삼성증권,대신증권",348150
네패스아크,2020.11.02,"23,400~26,500","26,500","54,765",707.7:1,1.60%,미래에셋대우,330860
교촌에프앤비(유가),2020.10.28,"10,600~12,300","12,300","61,480",999.44:1,3.90%,미래에셋대우,339770
소룩스,2020.10.23,"8,000~10,000","10,000","15,789",1135.7:1,0.80%,미래에셋대우,290690
위드텍,2020.10.14,"21,000~25,000","25,000","22,260",1336.49:1,23.53%,하나금융투자,348350
센코,2020.10.13,"10,000~13,000","13,000","16,120",848.37:1,2.20%,한국투자증권,347000
바이브컴퍼니,2020.10.12,"23,000~28,000","28,000","14,950",1221.45:1,7.96%,"한국투자증권,신영증권",301300
미코바이오메드,2020.10.06,"12,000~15,000","15,000","30,000",159.15:1,0.02%,KB증권,214610
하이브(구.빅히트)(유가),2020.09.24,"105,000~135,000","135,000","748,650",1117.25:1,43.85%,"NH투자증권,한국투자증권,미래에셋대우,키움증권",352820
피플바이오,2020.09.23,"25,000~30,000","20,000","12,500",40.4:1,-,키움증권,304840
넥스틴,2020.09.18,"61,500~75,400","75,400","19,680",30.25:1,23.30%,케이비증권,348210
원방테크,2020.09.08,"43,000~54,300","54,300","55,156",406.8:1,3.20%,미래에셋대우,053080
엔에이치스팩17호,2020.09.08,"2,000~2,000","2,000","12,000",,-,NH투자증권,359090
비나텍,2020.09.07,"27,000~32,000","33,000","19,800",1098.10:1,22.47%,대신증권,126340
박셀바이오,2020.09.03,"30,000~35,000","30,000","29,554",94.18:1,11.68%,하나금융투자,323990
압타머사이언스,2020.09.02,"20,000~25,000","25,000","26,000",830.32:1,3.27%,키움증권,291650
비비씨,2020.09.02,"27,100~30,700","30,700","32,520",977.5:1,3.90%,미래에셋대우,318410
핌스,2020.09.02,"15,000~19,000","19,000","30,000",1210.28:1,4.39%,DB금융투자,347770
교보스팩10호,2020.08.31,"2,000~2,000","2,000","7,500",,-,교보증권,355150
이오플로우,2020.08.27,"18,000~21,000","19,000","25,200",150.87:1,14.83%,하나금융투자,294090
카카오게임즈,2020.08.26,"20,000~24,000","24,000","320,000",1478.53:1,58.59%,"한국투자증권,삼성증권,KB증권",293490
피엔케이피부임상연구센타,2020.08.25,"16,100~18,300","18,300","35,951",1372.51:1,17.10%,미래에셋대우,347740
미래에셋대우스팩5호,2020.08.10,"2,000~2,000","2,000","9,400",,-,미래에셋대우,353490
아이디피,2020.08.06,"8,800~9,800","9,800","14,080",894:1,7.40%,키움증권,332370
셀레믹스,2020.08.03,"16,100~20,000","20,000","21,252",1203.41:1,5.41%,대신증권,331920
브랜드엑스코퍼레이션,2020.07.30,"12,400~15,300","13,000","47,085",47.06:1,-,"대신증권,삼성증권",337930
미투젠,2020.07.30,"21,000~27,000","27,000","67,183",1114.56:1,1.35%,미래에셋대우,950190
코람코에너지플러스리츠(유가),2020.07.28,"5,000~5,000","5,000","106,600",,-,"NH투자증권,대신증권,신영증권,이베스트투자증권,한국투자증권",357120
영림원소프트랩,2020.07.27,"9,500~11,500","11,500","16,150",1269.3:1,4.30%,미래에셋대우,060850
한국파마,2020.07.22,"6,500~8,500","9,000","21,079",1296.86:1,-,"미래에셋대우,SK증권",032300
이루다,2020.07.20,"7,500~9,000","9,000","13,500",1316.5:1,7.80%,미래에셋대우,164060
와이팜,2020.07.16,"9,700~11,000","11,000","72,054",407.01:1,8.01%,NH투자증권,332570
제이알글로벌리츠(유가),2020.07.16,"5,000~5,000","5,000","485,000",,-,"KB증권,메리츠증권,대신증권",348950
에이치엠씨아이비스팩4호,2020.07.15,"2,000~2,000","2,000","8,000",,-,현대차증권,353070
이엔드디,2020.07.14,"12,350~14,400","14,400","28,899",1168.72:1,8.99%,아이비케이투자증권,101360
엠투아이,2020.07.09,"15,600~18,900","15,600","52,026",61.70:1,1.60%,미래에셋대우,347890
더네이쳐홀딩스,2020.07.08,"45,000~50,000","46,000","54,000",97.21:1,8.46%,한국투자증권,298540
제놀루션,2020.07.08,"12,000~14,000","14,000","9,600",1161.09:1,21.36%,신영증권,225220
미래에셋맵스리츠1호(유가),2020.07.08,"5,000~5,000","5,000","72,000",,-,"미래에셋대우,신한금융투자,SK증권",357250
솔트룩스,2020.07.07,"24,000~30,000","25,000","18,000",528.17:1,5.58%,한국투자증권,304100
하나금융스팩16호,2020.07.07,"2,000~2,000","2,000","2,800,000",,-,하나금융투자,343510
티에스아이,2020.07.06,"7,500~9,500","10,000",500,1283.73:1,4.97%,한국투자증권,277880
에이프로,2020.07.02,"19,000~21,600","21,600","25,990",1090.80:1,10.46%,NH투자증권,262260
IBKS스팩13호,2020.07.01,"2,000~2,000","2,000","9,500",,-,아이비케이투자증권,351340
이지스레지던스리츠(유가),2020.06.30,"5,000~5,000","5,000","89,500",,-,"삼성증권,디비금융투자,유안타증권",350520
소마젠,2020.06.22,"11,000~15,000","11,000","46,200",69.46:1,-,신한금융투자,950200
신도기연,2020.06.22,"14,000~16,000","16,000","18,200",1272.90:1,14.51%,한국투자증권,290520
위더스제약,2020.06.18,"13,900~15,900","15,900","22,240",1033.41:1,17.36%,"NH투자증권,삼성증권",330350
SK바이오팜(유가),2020.06.17,"36,000~49,000","49,000","704,819",835.66:1,81.15%,"NH투자증권,한국투자증권,SK증권,하나금융투자",326030
마크로밀엠브레인,2020.06.15,"5,200~6,400","6,800","7,280",1056.80:1,19.39%,NH투자증권,169330
젠큐릭스,2020.06.10,"22,700~26,100","22,700","22,700",77.03:1,-,미래에셋대우,229000
이지스밸류플러스리츠(유가),2020.06.10,"5,000~5,000","5,000","118,500",87.09:1,8.70%,"삼성증권,한화투자증권,신영증권",334890
IBKS스팩14호,2020.06.08,"2,000~2,000","2,000","8,000",,-,아이비케이투자증권,351320
엘이티,2020.06.04,"6,400~7,800","7,800","14,060",1255.9:1,24.50%,미래에셋대우,297890
엔에이치스팩16호,2020.06.03,"2,000~2,000","2,000","7,500",,-,NH투자증권,353190
에스씨엠생명과학,2020.06.02,"14,000~17,000","17,000","25,200",1032.17:1,7.70%,한국투자증권,298060
드림씨아이에스,2020.05.07,"13,000~14,900","14,900","17,612",926.11:1,6.82%,NH투자증권,223250
이베스트스팩5호,2020.05.06,"2,000~2,000","2,000",-,,-,이베스트투자증권,349720
케이프이에스스팩4호,2020.03.09,"2,000~2,000","2,000","5,000",,-,케이프증권,347140
엔피디,2020.02.25,"5,400~6,300","5,400","40,770",307.50:1,8.78%,유안타증권,198080
에스케이스팩6호,2020.02.25,"2,000~2,000","2,000","11,000",,-,SK증권,340350
플레이디,2020.02.24,"6,800~7,700","8,500","25,087",1270.7:1,7.55%,KB증권,237820
서울바이오시스,2020.02.20,"6,500~7,500","7,500","13,000",1119:1,10.50%,KB증권,092190
제이앤티씨,2020.02.19,"8,500~10,500","11,000","93,500",1077.88:1,6.72%,"신한금융투자,유진투자증권",204270
켄코아에어로스페이스,2020.02.17,"13,000~15,000","10,000","20,440",120.75:1,2.55%,NH투자증권,274090
레몬,2020.02.12,"6,200~7,200","7,200","25,420",426:1,6.30%,"미래에셋대우,현대차증권",294140
서남,2020.02.04,"2,700~3,100","3,100","9,450",1228.4:1,5.21%,한국투자증권,294630
신영스팩6호,2020.01.29,"2,000~2,000","2,000",-,,-,신영증권,344050
위세아이텍,2020.01.20,"10,000~11,200","12,000","8,500",1105.93:1,6.95%,교보증권,065370
케이비스팩20호,2020.01.13,"2,000~2,000","2,000","12,000",,-,KB증권,342550
하나금융스팩15호,2020.01.09,"2,000~2,000","2,000","9,000",,-,하나금융투자,341160
천랩,2019.12.12,"63,000~78,000","40,000","27,090",51.11:1,-,한국투자증권,311690
한화플러스스팩1호,2019.12.11,"2,000~2,000","2,000","8,000",,-,한화투자증권,340440
피피아이,2019.12.10,"6,000~7,000","7,000","6,000",997.33:1,2.47%,미래에셋대우,062970
브릿지바이오테라퓨틱스,2019.12.09,"70,000~80,000","60,000","49,000",58.85:1,0.06%,"대신증권,KB증권",288330
엔에이치스팩15호,2019.12.09,"2,000~2,000","2,000","12,000",,-,NH투자증권,339950
메탈라이프,2019.12.09,"10,500~13,000","13,000","7,350",1288.21,22.46%,한국투자증권,327260
메드팩토,2019.12.05,"34,000~43,000","40,000","51,374",86.41:1,13.83%,삼성증권,235980
하이스팩5호,2019.12.05,"2,000~2,000","2,000","8,500",,-,하이투자증권,340120
대신밸런스스팩8호,2019.12.03,"2,000~2,000","2,000","10,000",,-,대신증권,336570
유안타스팩6호,2019.12.03,"2,000~2,000","2,000","13,000",,-,유안타증권,340360
신테카바이오,2019.12.02,"15,000~19,000","12,000","24,000",75.61:1,1.32%,케이비증권,226330
제이엘케이인스펙션,2019.11.26,"11,000~14,500","9,000","22,000",69.81:1,-,한국투자증권,322510
IBKS스팩12호,2019.11.25,"2,000~2,000","2,000","5,800",,-,아이비케이투자증권,335870
태웅로직스,2019.11.21,"3,700~4,500","4,500","18,500",1024.98:1,2.53%,"아이비케이투자증권,BNK투자증권",124560
에스케이스팩5호,2019.11.20,"2,000~2,000","2,000","8,000",,-,SK증권,337450
리메드,2019.11.19,"14,500~16,500","13,000","8,700",24.76:1,-,한국투자증권,302550
코리아센터,2019.11.18,"24,000~27,200","18,000","61,091",37.77:1,6.04%,"NH투자증권,신한금융투자,삼성증권",290510
IBKS스팩11호,2019.11.18,"2,000~2,000","2,000","9,000",,-,아이비케이투자증권,335890
유안타스팩5호,2019.11.13,"2,000~2,000","2,000","11,200",,-,유안타증권,336060
엔에이치프라임리츠(유가),2019.11.13,"5,000~5,000","5,000","68,800",711.65:1,43.20%,"NH투자증권,키움증권,하나금융투자,한국투자증권",338100
노터스,2019.11.07,"17,000~20,000","20,000","8,500",699.46:1,0.59%,대신증권,278650
센트랄모텍(유가),2019.11.07,"5,000~6,000","6,000","10,500",862.63:1,-,"한국투자증권,BNK투자증권",308170
티움바이오,2019.11.05,"16,000~20,000","12,000","40,000",37.3:1,-,"키움증권,삼성증권",321550
우양,2019.11.05,"3,800~4,200","4,200","13,680",1195.37:1,-,미래에셋대우,103840
코리아에셋투자증권,2019.11.04,"8,000~10,000","10,000","12,800",945.66:1,2.25%,신영증권,190650
현대에너지솔루션(유가),2019.11.04,"24,000~28,000","18,000","96,000",26.63:1,3.07%,"한국투자증권,하나금융투자,KB증권,하이투자증권,유안타증권",322000
씨에스베어링,2019.11.04,"7,400~8,400","8,400","17,612",1246.86:1,4.65%,한국투자증권,297090
에스제이그룹,2019.10.31,"32,000~38,600","38,600","26,240",946.62:1,13.56%,"NH투자증권,아이비케이투자증권",306040
제테마,2019.10.30,"36,000~48,000","21,000","20,160",12.41:1,-,"한국투자증권,DB금융투자",216080
라파스,2019.10.25,"24,000~29,000","20,000","38,400",202.06:1,-,DB금융투자,214260
아이티엠반도체,2019.10.24,"23,000~26,000","26,000",-,1078.5:1,15.80%,케이비증권,084850
미래에셋대우스팩4호,2019.10.22,"2,000~2,000","2,000","8,150",,-,미래에셋대우,333430
자이에스앤디(유가),2019.10.21,"4,200~5,200","5,200","45,760",768.58:1,5.10%,한국투자증권,317400
한화시스템(유가),2019.10.21,"12,250~14,000","12,250","402,552",23.61:1,4.24%,"NH투자증권,한국투자증권,한화투자증권,SK증권,대신증권,신영증권",272210
하나금융스팩14호,2019.10.16,"2,000~2,000","2,000","8,000",,-,하나금융투자,332710
지누스(유가),2019.10.16,"80,000~90,000","70,000","241,668",45.68:1,13.73%,"NH투자증권,신한금융투자,대신증권,하나금융투자,삼성증권",013890
티라유텍,2019.10.16,"10,550~12,050","12,050","11,868",1240.9:1,11.90%,미래에셋대우,322180
미디어젠,2019.10.14,"9,400~10,600","10,600","8,742",576.27:1,1.88%,교보증권,279600
신한스팩6호,2019.10.14,"2,000~2,000","2,000","8,000",,-,신한금융투자,333050
캐리소프트,2019.10.14,"7,000~9,000","9,000","6,370",924.83:1,2.70%,미래에셋대우,317530
케이엔제이,2019.10.10,"8,400~11,000","11,000","7,353","1,144.3:1",5.50%,미래에셋대우,272110
교보스팩9호,2019.10.07,"2,000~2,000","2,000","6,900",,-,교보증권,331520
엔바이오니아,2019.10.07,"8,200~10,300","8,200","9,102",425.80:1,3.80%,미래에셋대우,317870
팜스빌,2019.10.01,"11,000~14,000","14,000","19,923","1,035.53:1",7.05%,대신증권,318010
라온피플,2019.10.01,"14,000~17,000","14,000","28,329",330.36:1,1.50%,미래에셋대우,300120
아톤,2019.09.30,"30,000~43,000","43,000","26,915",810.88:1,9.50%,"NH투자증권,KB증권",158430
대신밸런스스팩7호,2019.09.24,"2,000~2,000","2,000","10,000",,-,대신증권,332290
녹십자웰빙,2019.09.24,"9,400~11,300","11,300","42,300",657.93:1,4.49%,하나금융투자,234690
롯데리츠(유가),2019.09.23,"4,750~5,000","5,000","408,426",358.06:1,44.07%,"한국투자증권,KB증권,삼성증권,하나금융투자",330590
유진스팩5호,2019.09.17,"2,000~2,000","2,000","7,000",,-,유진증권,331380
케이비스팩19호,2019.09.16,"2,000~2,000","2,000","8,000",,-,KB증권,330990
올리패스,2019.08.30,"37,000~45,000","20,000","29,600",11.07:1,0.40%,"미래에셋대우,키움증권",244460
라닉스,2019.08.29,"8,000~10,500","6,000","12,800",51.68:1,-,한국투자증권,317120
하나금융스팩13호,2019.08.29,"2,000~2,000","2,000","6,000",,-,하나금융투자,320000
한독크린텍,2019.08.22,"13,300~15,100","15,100","9,310",1117.61:1,8.77%,한국투자증권,256150
상상인이안스팩2호,2019.08.13,"2,000~2,000","2,000","6,500",540.20:1,-,상상인증권,329560
네오크레마,2019.08.07,"10,000~11,500","8,000","15,500",96.6:1,-,키움증권,311390
마니커에프앤지,2019.08.01,"3,400~4,000","4,000","8,840",1056.91:1,5.43%,유진투자증권,195500
나노브릭,2019.08.01,"18,000~22,000","16,000","8,208",39.3:1,-,KB증권,286750
미래에셋대우스팩3호,2019.07.31,"2,000~2,000","2,000","12,300",,-,미래에셋대우,328380
에스피시스템스,2019.07.29,"4,300~4,900","4,900","8,600",1116.32:1,13.68%,한국투자증권,317830
레이,2019.07.22,"17,000~20,000","20,000","17,000",1013.19 :1,10.27%,"한국투자증권,DB금융투자",228670
코윈테크,2019.07.18,"28,400~34,500","34,500","56,800",163.54:1,0.90%,미래에셋대우,282880
그린플러스,2019.07.18,"8,500~10,000","10,000","5,950",863.94:1,5.85%,한국투자증권,186230
세경하이테크,2019.07.17,"46,000~52,000","35,000","46,000",10.71:1,-,키움증권,148150
덕산테코피아,2019.07.17,"17,000~19,000","19,000","69,051",348.63:1,7.17%,NH투자증권,317330
한국바이오젠,2019.07.17,"4,700~5,700","6,000","8,387","1,087.6:1",-,미래에셋대우,318000
슈프리마아이디,2019.07.16,"23,000~27,000","27,000","19,872",1124.05:1,13.14%,한국투자증권,317770
윌링스,2019.07.10,"10,000~12,500","12,500","13,820",1082.15:1,18.18%,신영증권,313760
대모(구.대모엔지니어링),2019.07.09,"4,800~5,200","5,200","10,320",1103.1:1,15.60%,신한금융투자,317850
에이스토리,2019.07.03,"11,600~14,300","14,300","21,692",614.25:1,3.56%,NH투자증권,241840
플리토,2019.07.01,"19,000~23,000","26,000","27,996",1133:1,22.00%,한국투자증권,300080
세틀뱅크,2019.06.27,"44,000~49,000","55,000","63,668",1122:1,14.80%,"한국투자증권,신한금융투자",234340
이베스트이안스팩1호,2019.06.26,"2,000~2,000","2,000","6,000",,-,이베스트투자증권㈜,323210
