기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
현대로템(유가),2013.10.15,"17,000~23,000","23,000","460,020",,-,"우리투자증권,대우증권",064350
테스나,2013.10.01,"12,000~13,500","13,500","9,767",,-,키움증권,131970
파수닷컴,2013.09.30,"5,400~6,200","5,800","9,280",,-,삼성증권,150900
엘티씨,2013.09.23,"17,500~19,500","20,500","26,728",,-,키움증권,170920
지엔씨에너지,2013.09.12,"5,000~5,800","6,000","7,200",,82.44%,교보증권,119850
아미코젠,2013.08.29,"20,800~23,800","25,000","15,762",,-,우리투자증권,092040
파이오링크,2013.07.18,"9,500~10,500","10,500","11,400",,-,LIG투자증권,170790
금호N.T,2013.07.17,"2,700~3,100","3,100","7,440",,73.80%,미래에셋증권,130500
KG이티에스,2013.07.08,"3,000~3,900","3,800","30,827",,-,우리투자증권,151860
나스미디어,2013.07.02,"7,500~9,000","8,800","16,887",,-,KB투자증권,089600
엑세스바이오,2013.05.07,"3,600~4,100","4,500","22,888",,-,"우리투자증권,유진투자증권",950130
디에스알(유가),2013.04.29,"4,150~4,650","4,000","16,000",,-,우리투자증권,155660
레고켐바이오사이언스,2013.04.23,"13,800~15,500","15,500","21,700",,8.48%,한국투자증권,141080
삼목강업,2013.04.11,"3,500~3,900","2,600","8,320",,-,교보증권,158380
세호로보트,2013.03.20,"6,500~7,500","7,800","8,580",,71.50%,IBK투자증권,158310
윈팩,2013.02.19,"4,200~5,100","4,000","10,109",,-,키움증권,097800
코렌텍,2013.02.14,"13,000~16,000","16,000","15,600",,12.53%,한국투자증권,104540
제로투세븐,2013.01.30,"7,200~8,300","8,300","24,900",,-,현대증권,159580
지디,2013.01.23,"14,500~16,500","18,000","43,200",,-,미래에셋증권,155960
아이원스,2013.01.22,"4,300~4,800","4,500","9,884",,-,우리투자증권,114810
우리이앤엘,2013.01.17,"4,900~5,700","4,900","44,100",,-,현대증권,153490
아이센스,2013.01.15,"16,000~19,000","19,000","14,400",,-,우리투자증권,099190
포티스,2013.01.10,"3,500~3,900","3,900","4,853",,-,하나대투증권,141020
씨에스엘쏠라,2012.12.12,"10,000~11,000","10,000","12,000",,11.31%,키움증권,159910
SBIAXES(구.AXES홀딩스),2012.11.20,"3,000~3,600","3,600","19,229",,-,하나대투증권,950110
우리로광통신,2012.11.07,"9,000~10,300","10,300","18,789",,-,미래에셋증권,046970
디젠스,2012.11.06,"1,800~2,300","1,800","9,000",,-,우리투자증권,113810
맥스로텍,2012.10.31,"6,000~7,000","7,000","7,000",,-,미래에셋증권,141070
GMB코리아(유가),2012.10.31,"7,600~9,200","6,000","34,313",,-,신한금융투자,013870
와이엠씨,2012.10.30,"5,100~6,000","6,000","11,677",,-,우리투자증권,155650
CJ헬로비전(유가),2012.10.24,"14,000~19,000","16,000","293,210",,-,하이투자,037560
아바텍,2012.10.16,"5,100~5,800","6,300","18,585",,-,한국투자증권,149950
코이즈,2012.09.12,"6,500~7,400","7,500","8,850",,-,한국투자증권,121850
모다정보통신,2012.09.10,"7,000~8,500","7,000","4,900",,-,키움증권,149940
나노스,2012.07.17,"6,000~7,000","7,000","10,500",,-,한화증권,151910
에이제이렌터카(구.아주오토렌탈)(유가),2012.07.12,"8,000~9,000","7,000","38,850",,-,한국투자증권,068400
우양에이치씨,2012.07.10,"4,000~6,500","5,500","13,915",,-,한화증권,101970
엠씨넥스,2012.07.09,"16,200~18,600","15,000","12,000",,-,한국투자증권,097520
네이블커뮤니케이션즈,2012.07.03,"7,500~9,000","9,000","5,400",,-,한국투자증권,153460
디지탈옵틱,2012.06.27,"9,500~11,500","11,500","13,058",,-,신한금융투자,106520
피엔티,2012.06.21,"14,000~16,000","17,000","13,712",,-,하나대투증권,137400
사조씨푸드(유가),2012.06.12,"8,600~10,050","10,600","63,880",,-,미래에셋증권,014710
비아트론,2012.04.17,"12,900~14,600","15,900","14,835",,-,한국투자증권,141000
에스비아이모기지,2012.04.05,"7,700~9,200","7,000",-,,-,하나대투증권,950100
코오롱패션머티리얼(유가),2012.03.19,"12,000~14,500","14,500","43,500",,-,우리투자증권,144620
빛샘전자,2012.03.07,"4,000~4,400","4,400","3,432",,-,미래에셋증권,072950
휴비스(유가),2012.02.06,"11,700~13,200","12,200","200,141",,-,대우증권,079980
사람인에이치알,2012.02.02,"4,000~5,000","5,000","9,720",,-,현대증권,143240
뉴로스,2012.01.26,"7,500~8,500","8,500","3,750",,-,교보증권,126870
남화토건,2012.01.09,"2,600~3,000","3,000","9,000",,-,HMC투자증권,091590
동아팜텍,2012.01.05,"20,000~24,000","24,000","54,408",,-,우리투자증권,140410
원익머트리얼즈,2011.12.08,"23,000~26,000","27,000","45,029",,-,동양증권,104830
나이스디앤비,2011.12.07,"1,400~1,700","1,700","5,488",,-,대신증권,130580
GS리테일(지에스리테일)(유가),2011.12.07,"18,000~21,000","19,500","300,300",,-,우리투자증권,007070
디엔에이링크,2011.12.05,"6,000~7,000","7,700","3,950",,-,미래에셋증권,127120
시큐브,2011.12.05,"4,200~4,900","4,900","3,821",,-,SK증권,131090
서암기계공업,2011.11.30,"3,200~3,800","3,800","11,970",,1.19%,한국투자증권,100660
씨유메디칼시스템,2011.11.29,"10,000~11,500","12,000","8,000",,-,현대증권,115480
인터지스(유가),2011.11.29,"10,000~12,200","10,000","58,350",,-,삼성증권,129260
넥스트리밍,2011.11.16,"5,000~6,000","6,000","3,975",,-,신한금융투자,139670
에스에프씨,2011.11.15,"13,500~17,000","14,000","22,044",,-,우리투자증권,112240
티브이로직,2011.11.15,"10,000~11,200","12,000","10,500",,-,한국투자증권,121800
사파이어테크놀로지,2011.11.15,"55,000~65,000","65,000","52,650",,-,한국투자증권,123260
신진에스엠,2011.11.10,"12,500~15,000","15,000","13,500",,-,한화증권,138070
이엠넷,2011.11.09,"5,800~6,400","6,400","9,600",,-,KB투자증권,123570
와이지엔터테인먼트,2011.11.07,"22,100~28,800","34,000","27,548",,-,대우증권,122870
쎄미시스코,2011.11.02,"7,000~8,000","9,500","9,137",,-,하이투자증권,136510
테크윙,2011.10.25,"18,000~20,000","23,000","11,700",,-,한국투자증권,089030
아이테스트,2011.10.24,"2,000~2,400","2,400","20,000",,-,미래에셋증권,089530
신흥기계,2011.10.20,"7,000~7,700","8,500","13,396",,-,한국투자증권,007820
씨큐브,2011.10.19,"4,200~5,000","5,750","4,025",,-,대신증권,101240
씨엔플러스,2011.10.17,"10,000~11,300","11,500","9,200",,-,한국투자증권,115530
테라세미콘,2011.10.13,"10,000~12,000","13,500","16,200",,-,LIG투자증권,123100
케이맥,2011.10.05,"13,000~15,000","14,500","17,400",,-,현대증권,043290
넥솔론(유가),2011.09.28,"6,700~8,000","4,000","85,490",,-,우리투자증권,110570
로보스타,2011.09.27,"4,500~6,000","5,800","6,805",,-,미래에셋증권,090360
대한과학,2011.09.22,"2,400~3,200","3,000","3,360",,-,대우증권,131220
피앤이솔루션,2011.09.06,"7,000~8,000","8,000","12,000",,-,교보증권,131390
화진,2011.07.20,"3,700~4,300","4,300","10,587",,-,HMC투자증권,134780
제이씨케미칼,2011.07.20,"6,000~7,200","7,200","20,040",,-,삼성증권,137950
제닉,2011.07.18,"19,000~22,000","22,000","17,100",,-,교보증권,123330
아이씨디,2011.07.18,"23,000~27,000","34,000","52,700",,-,동양증권,040910
경봉,2011.07.11,"6,000~7,100","7,100","9,478",,-,동양증권,139050
상아프론테크,2011.07.06,"6,300~6,900","6,000","15,000",,-,한국투자증권,089980
삼원강재(유가),2011.07.04,"3,700~4,200","4,000","40,000",,-,대우증권,023000
옵티시스,2011.06.29,"6,700~7,600","7,600","5,320",,-,키움증권,109080
나이벡,2011.06.29,"8,400~10,200","10,000","7,340",,-,대신증권,138610
신세계인터내셔날(유가),2011.06.23,"50,000~65,000","65,000","130,000",,-,한국투자증권,031430
대양전기공업,2011.06.17,"8,200~10,000","9,000","25,650",,-,삼성증권,108380
한국항공우주산업(유가),2011.06.16,"14,000~16,000","15,500","567,515",,-,"우리투자,현대증권",047810
하이마트(유가),2011.06.15,"59,000~67,700","59,000","419,747",,-,대우증권,071840
탑금속,2011.06.07,"5,800~6,500","6,500","21,450",,-,현대증권,019770
쓰리피시스템,2011.06.02,"4,500~6,000","5,800","7,691",,-,부국증권,110500
엠케이트렌드(유가),2011.06.01,"9,000~11,000","11,000","21,600",,-,우리투자증권,069640
완리인터내셔널홀딩스,2011.05.27,"4,100~5,500","4,100","50,020",,-,삼성증권,900180
리켐,2011.05.25,"11,000~14,000","14,000",-,,-,SK증권,131100
넥스트아이,2011.05.25,"9,700~10,800","10,000","9,700",,-,한국투자증권,137940
코오롱플라스틱(유가),2011.05.25,"3,800~4,300","4,300","33,060",,-,대우증권,138490
엘티에스,2011.05.19,"32,500~34,500","34,000","24,598",,-,우리투자증권,138690
KT스카이라이프(유가),2011.05.16,"13,500~18,500","17,000","42,500",,-,대우증권,053210
세아특수강(유가),2011.05.12,"24,000~28,000","28,000","61,987",,-,하나대투증권,019440
케이엠에이치,2011.05.11,"9,500~11,500","9,500",-,,-,IBK투자증권,122450
골프존,2011.05.02,"65,000~79,000","85,000","170,000",,-,한국투자증권,121440
한국종합기술(유가),2011.04.11,"6,800~9,200","7,100","22,323",,-,우리투자증권,023350
이퓨쳐,2011.04.11,"5,200~6,400","6,400","5,760",,-,삼성증권,134060
티케이케미칼,2011.04.07,"4,500~5,000","5,000","198,000",,-,우리투자증권,104480
일진머티리얼즈(유가),2011.02.16,"14,100~15,800","15,800",-,,-,미래에셋증권,020150
현대위아(유가),2011.01.27,"53,000~60,000","65,000","520,000",,-,미래에셋증권,011210
부스타,2011.01.26,"3,500~4,200","4,200","8,568",,-,HMC투자증권,008470
나노신소재,2011.01.18,"14,500~16,500","17,000","25,795",,-,한국투자증권,121600
케이아이엔엑스,2011.01.17,"6,900~7,500","8,000","4,968",,-,하나대투증권,093320
티피씨,2011.01.17,"4,500~5,200","5,200","5,850",,-,신영증권,130740
제이엔케이히터,2011.01.13,"10,500~13,600","13,600","27,200",,-,우리투자증권,126880
엘비세미콘,2011.01.12,"4,000~4,500","4,700","32,000",,-,한국투자증권,061970
딜리,2011.01.12,"7,000~8,000","8,000","10,290",,-,현대증권,131180
블루콤,2011.01.11,"9,000~12,000","12,000","24,300",,-,우리투자증권,033560
인트론바이오테크놀로지,2011.01.10,"4,800~6,100","6,100","3,050",,-,신한금융투자,048530
씨그널정보통신,2011.01.07,"7,500~8,500","8,500","7,582",,-,신영증권,099830
중국고섬공고(유가),2011.01.07,"5,970~5,970","7,000","179,100",,-,대우증권,950070
다나와,2011.01.06,"12,000~14,000","14,000","20,141",,-,한국투자증권,119860
KB게임(KB스팩),2010.12.20,"2,500~2,500","2,500","20,000",,-,KB투자증권,131370
티에스이,2010.12.16,"45,000~52,000","45,000","36,549",,-,한국투자증권,131290
인텍플러스,2010.12.15,"6,000~7,000","7,000","7,000",,-,한국투자증권,064290
두산엔진(유가),2010.12.15,"17,200~20,900","19,300","202,650",,-,대우증권,082740
대구도시가스(유가),2010.12.08,"4,400~5,400","5,400","33,000",,-,신한금융투자,117580
현대HCN(유가),2010.12.08,"3,800~4,500","3,800","83,600",,-,현대증권,126560
액트,2010.12.07,"2,400~2,700","2,700","10,800",,-,한국투자증권,131400
IBKS스마트스팩,2010.12.07,"1,000~1,000","1,000","20,000",,-,IBK투자증권,126680
한전산업개발(유가),2010.12.01,"4,500~5,500","5,500","58,680",,-,신한금융투자,130660
대정화금,2010.12.01,"8,100~9,200","9,200","18,630",,8.69%,HMC투자증권,120240
케이티스(구.한국인포서비스)(유가),2010.12.01,"2,500~3,100","2,700","13,454",,-,우리투자증권,058860
동부티에스블랙펄스팩,2010.11.23,"2,000~2,000","2,000","22,500",,-,동부증권,128910
하이제1호스팩,2010.11.18,"4,000~4,000","4,000","27,000",,-,하이투자증권,131030
세우테크,2010.11.15,"5,500~6,500","5,500","8,250",,-,신한금융투자,096690
대구방송,2010.11.11,"7,500~9,500","7,500","7,500",,-,부국증권,033830
코라오홀딩스(유가),2010.11.10,"3,800~4,800","4,800","56,317",,-,IBK투자증권,900140
케이티롤,2010.11.09,"6,000~6,800","6,800","6,328",,-,대신증권,122800
시그네틱스,2010.11.09,"2,300~2,600","2,600","32,312",,-,미래에셋증권,033170
한국전자인증,2010.11.02,"1,300~1,500","1,600","1,820",,-,한국투자증권,041460
코프라,2010.10.26,"5,500~6,500","7,000","12,320",,-,미래에셋증권,126600
디케이락,2010.10.25,"7,000~8,000","7,500","14,000",,-,신한금융투자,105740
하나그린스팩1호,2010.10.25,"4,000~4,000","4,000","20,000",,-,하나대투,123420
케이엔엔,2010.10.19,"8,000~10,000","9,000","11,970",,-,미래에셋증권,058400
아나패스,2010.10.18,"47,000~52,000","52,000","22,090",,-,대우증권,123860
삼본정밀전자,2010.10.18,"7,800~8,800","8,800","15,600",,-,현대증권,111870
부국퓨쳐스타즈스팩,2010.10.14,"2,000~2,000","2,000","11,800",,-,부국증권,123300
아이텍반도체,2010.10.06,"8,700~9,100","9,100","8,190",,-,대우증권,119830
누리플랜,2010.10.05,"4,600~5,500","5,500","6,050",,-,HMC투자증권,069140
인화정공,2010.10.04,"22,000~26,000","26,000","31,200",,-,신한금융투자,101930
코렌,2010.10.04,"5,800~6,600","5,800",-,,-,대우증권,078650
아이씨코리아,2010.09.30,"2,400~3,000","2,800","3,600",,-,한화증권,068940
키움제1호스팩,2010.09.09,"2,000~2,000","2,000","20,000",,-,키움증권,123840
휠라코리아(유가),2010.09.06,"30,000~35,000","35,000","97,500",,-,삼성증권,081660
포메탈,2010.09.02,"6,000~6,800","6,000","10,800",,-,IBK투자증권,119500
케이티씨에스(구.한국인포데이타(유가),2010.09.01,"2,600~3,100","2,600","18,597",,-,한국투자증권,058850
성융광전투자,2010.08.31,"2,700~3,300","2,800","50,400",,-,대우증권,900150
다원시스,2010.08.30,"9,000~12,000","11,000","14,868",,-,하이투자증권,068240
알파칩스,2010.08.30,"10,500~12,000","12,000","7,200",,-,현대증권,117670
와이솔,2010.08.26,"7,000~9,000","8,000","8,000",,-,한화증권,122990
현대홈쇼핑(유가),2010.08.26,"80,000~90,000","90,000",-,,-,현대증권,057050
이트레이드1호스팩,2010.08.25,"2,000~-","2,000","19,000",,-,이트레이드증권,126700
씨젠,2010.08.24,"28,000~35,000","30,500","19,413",,-,대우증권,096530
에이치엠씨아이비1호스팩,2010.08.12,"2,000~-","2,000","23,560",,-,HMC투자증권,126640
교보케이티비스팩,2010.08.11,"4,000~-","4,000","25,000",,-,"교보증권,KTB투자증권",123410
에스비아이앤솔로몬드림스팩,2010.08.09,"1,250~-","1,250","20,000",,-,솔로몬투자,123910
대신증권그로쓰알파,2010.08.09,"2,000~-","2,000",-,,-,대신증권,123550
한국투자신성장1호스팩,2010.08.09,"2,200~-","2,200","23,100",,-,한국투자증권,123290
도화종합기술공사(유가),2010.07.27,"20,000~23,000","22,000","40,000",,-,우리투자증권,002150
엠에스오토텍,2010.07.19,"4,500~5,500","5,500","15,840",,-,HMC투자증권,123040
이글루시큐리티,2010.07.15,"11,000~14,000","14,000","21,000",,-,미래에셋증권,067920
인터로조,2010.07.14,"9,000~12,000","12,000","12,134",,-,한화증권,119610
아이마켓코리아(유가),2010.07.13,"12,300~15,300","15,300",-,,-,미래에셋증권,122900
하이텍팜,2010.07.12,"10,000~11,500","11,500","21,000",,-,HMC투자증권,106190
웨이포트(홍콩),2010.07.06,"1,400~1,800","1,400","19,558",,-,메리츠증권,900130
우진(유가),2010.07.06,"13,600~15,200","15,000","29,512",,-,한국투자증권,105840
크루셜텍,2010.07.05,"20,000~23,500","23,500","24,107",,-,미래에셋증권,114120
에스디시스템,2010.06.30,"13,000~14,800","14,800","12,350",,-,대우증권,121890
한화스팩1호,2010.06.24,"5,000~-","5,000","20,000",,-,한화증권,124050
신영증권스팩1호,2010.06.16,"1,000~-","1,000","19,700",,-,신영증권,123750
웅진에너지(유가),2010.06.15,"7,500~8,500","9,500","119,100",,-,대신증권,103130
처음앤씨,2010.06.07,"10,500~13,000","13,000","9,260",,-,우리투자증권,111820
유비벨록스,2010.06.03,"9,500~10,500","11,000","9,500",,-,한국투자증권,089850
케이엔디티앤아이,2010.05.26,"7,000~8,500","8,500","15,300",,-,교보증권,046120
히든챔피언제1호스팩,2010.05.26,"2,000~2,000","2,000","30,000",,-,삼성증권,123160
솔라시아,2010.05.25,"4,600~5,100","5,000","4,375",,-,한국투자증권,070300
이연제약(유가),2010.05.24,"16,500~18,000","16,500","21,450",,-,현대증권,102460
실리콘웍스,2010.05.19,"61,000~67,000","67,000","67,000",,-,한국투자증권,108320
투비소프트,2010.05.17,"6,500~7,500","8,000","2,567",,-,한국투자증권,079970
인피니트헬스케어(구.인피니트테,2010.05.10,"4,200~5,200","5,200","12,600",,-,삼성증권,071200
모바일리더,2010.05.06,"13,000~15,000","15,000","7,800",,-,한화증권,100030
만도(유가),2010.05.04,"75,000~90,000","83,000","450,000",,-,우리투자증권,060980
신한제1호스팩,2010.04.28,"4,000~5,000","5,000","37,500",,-,신한금융투자,122690
우리스팩1호(유가),2010.04.26,"10,000~-","10,000","35,000",,-,우리투자증권,122750
삼성생명(유가),2010.04.22,"90,000~115,000","110,000","4,888,116",,-,한국투자증권,032830
동아체육용품유한공사,2010.04.06,"4,600~5,200","5,000","27,595",,-,교보증권,900110
뉴프라이드,2010.04.02,"6,000~7,700","7,500","11,100",,-,골든브릿지,900100
케이씨에스,2010.03.26,"1,200~1,600","1,600","4,320",,-,삼성증권,115500
차이나킹하이웨이,2010.03.16,"3,000~3,500","3,700","72,000",,-,우리투자증권,900120
동양밸류오션SPAC(유가),2010.03.11,"10,000~-","10,000","45,000",,-,동양증권,122290
디지탈아리아,2010.03.11,"8,000~10,000","11,000","8,371",,-,교보증권,115450
현대드림투게더,2010.03.04,"6,000~-","6,000","20,004",,-,현대증권,122350
대한생명보험(유가),2010.03.03,"9,000~11,000","8,200","2,100,000",,-,대우증권,088350
미래에셋스팩1호,2010.02.25,"1,500~-","1,500","20,000",,-,미래에셋증권,121950
대우증권그린코리아SPAC(유가),2010.02.17,"2,500~3,500","3,500","62,500",,-,대우증권,121910
이미지스테크놀로지,2010.02.04,"6,000~7,500","6,000","9,960",,-,교보증권,115610
인포바인,2010.01.20,"26,000~31,000","33,000","14,850",,-,한국투자증권,115310
차이나하오란리사이클링,2010.01.19,"4,300~5,600","4,700","43,000",,-,신한금융,900090
하이소닉,2010.01.19,"11,000~13,000","13,000","8,800",,-,한화증권,106080
에스이티아이,2010.01.18,"16,500~18,000","17,500","31,020",,-,삼성증권,114570
모베이스,2010.01.18,"9,000~12,000","13,200",-,,-,미래에셋증권,101330
에이치디시에스,2010.01.14,"11,000~15,000","15,000","10,999",,-,하이투자증권,105070
락앤락(유가),2010.01.14,"14,000~15,700","15,700","157,000",,-,한국투자증권,115390
지역난방공사(유가),2010.01.13,"33,400~40,800","45,000","130,275",,-,삼성증권,071320
우리넷,2010.01.12,"6,000~7,000","6,700","6,412",,-,한국투자증권,115440
아세아텍,2010.01.08,"4,700~5,400","4,100","20,680",,-,IBK투자증권,050860
영흥철강(유가),2010.01.08,"12,000~16,000","12,000","26,984",,-,대우증권,012160
스타플렉스,2010.01.07,"13,100~15,600","15,000","18,340",,-,대신증권,115570
우노앤컴퍼니,2009.12.28,"7,000~10,000","6,500","16,945",,-,SK증권,114630
승화엘엠씨,2009.12.17,"6,000~7,000","6,700","8,004",,-,한화증권,111610
코디에스,2009.12.16,"5,000~6,000","6,000","6,049",,-,동부증권,080530
아이티엑스시큐리티,2009.12.08,"6,500~8,000","6,000","8,404",,-,한화증권,099520
위메이드엔터테인먼트,2009.12.03,"60,000~65,000","62,000","130,200",,-,우리투자증권,112040
KPX라이프사이언스,2009.12.03,"5,000~6,500","6,200","34,100",,-,미래에셋증권,114450
멜파스,2009.12.01,"43,200~48,800","43,200","53,752",,-,한국투자증권,096640
동양피엔에프,2009.12.01,"10,000~12,000","12,000","17,000",,-,HMC투자증권,104460
현대푸드시스템(유가),2009.11.30,"10,000~11,600","11,600","59,670",,-,현대증권,114410
한전기술(유가),2009.11.25,"21,600~24,400","21,600","165,110",,-,동양증권,052690
디오텍,2009.11.24,"10,000~12,000","9,000","7,160",,-,한화증권,108860
중국엔진집단유한공사,2009.11.16,"10,000~11,000","6,000","100,000",,-,신한금융투자,900080
이원컴포텍,2009.11.12,"2,000~2,200","2,000","2,903",,-,신영증권,088290
GKL(유가),2009.11.04,"9,500~12,000","12,000","176,288",,-,미래에셋증권,114090
강원비앤이,2009.11.02,"4,800~6,000","4,700","6,720",,-,현대증권,114190
이너스텍,2009.10.27,"10,000~13,000","10,000","3,750",,-,대우증권,109960
동방선기,2009.10.27,"5,000~5,800","4,000","8,999",,-,신한금융투자,099410
에스케이씨앤씨(유가),2009.10.26,"28,000~32,000","30,000","540,000",,-,"우리,한국,대신",034730
디엠씨,2009.10.20,"7,500~8,600","6,300","5,625",,-,미래에셋증권,101000
진매트릭스,2009.10.20,"11,000~14,000","8,000","11,000",,-,삼성증권,109820
스틸플라워,2009.10.09,"17,500~21,500","13,500","30,625",,-,미래에셋증권,087220
비츠로셀,2009.10.09,"6,700~8,000","5,500","21,440",,-,현대증권,082920
진로(유가),2009.09.28,"45,000~50,000","41,000","648,000",,-,"삼성,우리투자",000080
동양생명(유가),2009.09.23,"17,000~22,000","17,000","340,380",,-,대우증권외2,082640
한스바이오메드,2009.09.22,"4,500~5,100","5,500","3,496",,-,한국투자증권,042520
네오위즈벅스,2009.09.17,"9,000~11,000","9,000","24,599",,-,우리투자증권,104200
아이앤씨테크놀로지,2009.09.16,"14,000~16,000","16,000","32,480",,-,미래에셋증권,052860
케이엔더블유,2009.09.10,"9,000~11,000","11,000","8,100",,-,키움닷컴증권,105330
에리트베이직(유가),2009.09.10,"3,400~4,200","4,000","6,800",,-,신한금융투자,093240
쌍용머티리얼(유가),2009.09.09,"14,500~17,500","17,500","26,100",,-,대우증권,047400
모린스,2009.09.08,"30,000~39,000","39,000","38,828",,-,"우리투자,현대",110310
디에스케이,2009.09.07,"4,000~5,000","5,000","6,000",,-,신한금융투자,109740
제넥신,2009.09.01,"22,000~27,000","27,000","22,000",,-,"대우,교보증권",095700
톱텍,2009.08.27,"9,100~10,400","10,400","18,200",,-,HMC투자증권,108230
동국S&C,2009.08.06,"9,000~12,000","11,000","205,716",,-,삼성증권,100130
에스앤더블류,2009.07.15,"5,600~6,700","6,700","5,360",,-,대신증권,103230
게임빌,2009.07.13,"13,000~15,500","15,000","12,600",,-,동양증권,063080
동일금속,2009.07.09,"7,000~8,000","8,000","16,800",,-,동양증권,109860
대우캐피탈(유가),2009.06.10,"7,000~8,500","8,000","46,400",,3.10%,한국투자증권,033660
한미파슨스건축사사무소(유가),2009.06.02,"10,000~13,000","14,500","15,950",,-,삼성증권,053690
동아지질(유가),2009.05.26,"12,500~14,000","14,500","50,750",,8.00%,대우증권,028100
어보브반도체,2009.05.20,"2,500~3,000","3,300","4,056",,19.47%,한국투자증권,102120
조이맥스,2009.05.18,"40,000~50,000","55,000","47,891",,38.64%,교보증권,101730
차이나그레이트스타인터내셔널리,2009.05.11,"1,200~1,600","1,700","51,000",,14.03%,NH투자증권,900040
이엔에프테크놀로지,2009.05.11,"4,500~5,100","5,500","14,850",,21.98%,한국투자증권,102710
뉴그리드테크놀로지,2009.05.08,"2,800~3,200","3,500","2,092",,24.60%,미래에셋증권,099440
중국원양자원유한공사(유가),2009.05.04,"2,300~2,900","3,100","53,320",,-,현대증권,900050
해덕선기,2009.04.29,"7,500~8,500","8,500","20,825",,20.41%,메리츠증권,102210
서울마린,2009.04.29,"8,000~10,000","10,000","31,497",,13.10%,미래에셋증권,099220
한국정밀기계,2009.04.27,"18,000~22,000","22,000","50,490",,53.00%,현대증권,101680
STX엔파코(유가),2009.04.27,"10,000~13,000","13,000","29,900",,-,"굿모닝신한,우리",071970
흥국,2009.04.22,"3,200~3,800","4,200","4,713",,5.43%,한국투자증권,010240
신텍,2009.04.15,"9,500~12,500","12,500","17,500",,-,우리투자증권,099660
티플랙스,2009.04.07,"2,200~2,600","3,000","3,177",,15.70%,미래에셋증권,081150
우림기계,2009.04.07,"8,000~10,000","10,000","19,580",,2.07%,동양증권,101170
네프로아이티,2009.04.06,"3,500~4,500","4,500","3,600",,-,삼성증권,950030
엔에스브이,2009.03.31,"3,600~4,300","4,300","10,900",,-,대우증권,095300
에스티오,2009.03.31,"4,000~5,000","5,000","4,700",,-,삼성증권,098660
뷰웍스,2009.03.25,"8,000~10,000","9,000","9,450",,11.69%,한국투자증권,100120
에스앤에스텍,2009.03.25,"3,500~4,500","4,000","9,200",,-,대우증권,101490
에이테크솔루션,2009.03.25,"5,000~5,800","5,400","2,700",,-,현대증권,071670
코오롱생명과학,2009.03.17,"19,500~23,500","23,500","16,920",,-,삼성증권,102940
네오피델리티,2009.03.12,"4,000~5,000","4,500","2,250",,-,한화증권,101400
중국식품포장유한공사,2009.03.04,"2,700~3,700","1,500","9,000",,-,굿모닝신한증권,900060
이수앱지스,2009.01.13,"5,000~5,500","5,500","7,480",,-,삼성증권,086890
유비쿼스,2009.01.07,"6,000~7,000","6,100","6,278",,-,미래에셋증권,078070
대성파인텍,2009.01.07,"4,000~4,500","3,500","1,575",,-,현대증권,104040
메디톡스,2008.12.26,"13,200~14,700","14,000","3,542",,-,한국투자증권,086900
엠게임,2008.12.01,"11,000~13,000","10,000","3,100",,-,미래에셋증권,058630
아이컴포넌트,2008.11.25,"5,100~5,600","3,500","1,358",,-,한국투자증권,059100
